Key:2015-01-11 24:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-12 01:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-12 02:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-12 03:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-12 04:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-12 05:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-12 06:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-12 07:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-12 08:00:00 {'diffuse_radiation': 0.0, 'direct_normal_radiation': 0.0}
Key:2015-01-12 09:00:00 {'diffuse_radiation': 26.0, 'direct_normal_radiation': 9.0}
Key:2015-01-12 10:00:00 {'diffuse_radiation': 50.0, 'direct_normal_radiation': 18.0}
Key:2015-01-12 11:00:00 {'diffuse_radiation': 42.0, 'direct_normal_radiation': 10.0}
Key:2015-01-12 12:00:00 {'diffuse_radiation': 34.0, 'direct_normal_radiation': 4.0}
Key:2015-01-12 13:00:00 {'diffuse_radiation': 38.0, 'direct_normal_radiation': 9.0}
Key:2015-01-12 14:00:00 {'diffuse_radiation': 27.0, 'direct_normal_radiation': 7.0}
Key:2015-01-12 15:00:00 {'diffuse_radiation': 12.0, 'direct_normal_radiation': 2.0}
